task,layer,layer_idx,entry_idx,rho,ft_method
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,0,0.0803286526246536,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,1,0.001193968383466,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,2,0.3141931584329723,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,3,0.0225892507247862,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,4,0.1369612011944658,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,5,0.0080947306274848,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,6,0.0147236302721421,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,7,0.2210576257946005,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,8,0.0013865320387441,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,9,0.0402828557808053,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,10,0.1977689732317148,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,11,0.0101108399567683,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,12,0.0877633068893148,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,13,0.1251995789480816,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,14,0.0747865613230176,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,15,0.0610813340596006,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,16,0.0984939158324138,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,17,0.0916412370350789,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,18,0.0538265426186009,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,19,0.0159565522910495,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,20,0.0164642532802981,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,21,0.0709554378216093,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,22,0.0259884842511436,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,23,0.1023765856857817,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,24,0.0271164238970784,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,25,0.0659605587707486,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,26,0.0414888848145408,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,27,0.0013881017436782,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,28,0.0040018510752421,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,29,0.0284592357383176,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,30,0.2902300880891169,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0,31,0.0048795359695978,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,0,0.1127588840732506,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,1,0.2938415579084981,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,2,0.1196444471471449,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,3,0.0156414537534946,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,4,0.005120391217869,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,5,0.0417770978135802,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,6,0.0526121740233358,standard
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1,7,0.0169673035073618,standard
