model,dataset,layer_name,layer_idx,method,error,ft_method,cos_sim
ViT-L/14,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,EigenCov,0.9013760685920716,standard,0.09862393140792836
ViT-L/14,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,Identity,0.9303696751594543,standard,0.06963032484054565
ViT-L/14,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,EigenCov,0.9252995252609252,standard,0.07470047473907482
ViT-L/14,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,Identity,0.9632515907287598,standard,0.036748409271240234
ViT-L/14,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,EigenCov,0.8644992113113403,standard,0.13550078868865967
ViT-L/14,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,Identity,0.926935374736786,standard,0.073064625263214
ViT-L/14,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,EigenCov,0.6485673189163208,standard,0.3514326810836792
ViT-L/14,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,Identity,0.970483899116516,standard,0.029516100883483998
ViT-L/14,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,EigenCov,0.9046112895011902,standard,0.09538871049880981
ViT-L/14,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,Identity,0.9140480756759644,standard,0.08595192432403564
ViT-L/14,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,EigenCov,0.7089321613311768,standard,0.29106783866882324
ViT-L/14,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,Identity,0.969382345676422,standard,0.030617654323577992
ViT-L/14,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,EigenCov,0.8899157643318176,standard,0.11008423566818237
ViT-L/14,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,Identity,0.9279156923294068,standard,0.07208430767059315
ViT-L/14,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,EigenCov,0.574750542640686,standard,0.42524945735931396
ViT-L/14,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,Identity,0.9686682224273682,standard,0.031331777572631836
ViT-L/14,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,EigenCov,0.8490993976593018,standard,0.15090060234069824
ViT-L/14,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,Identity,0.9220893383026124,standard,0.07791066169738758
