dataset,layer_name,layer_idx,method,error,k,ft_method
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8481189804004521,8,linear
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7730071533948748,32,linear
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7207618593358486,64,linear
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9661609664588845,8,linear
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9242339305045176,32,linear
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8680759864826098,64,linear
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8633795130799986,8,linear
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8208752238666344,32,linear
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7692278192123881,64,linear
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9606289515882407,8,linear
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9224779686990969,32,linear
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9078211608268771,64,linear
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8486193345314265,8,linear
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7574659630464099,32,linear
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.6747709323415493,64,linear
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9632715340448795,8,linear
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9494780950576012,32,linear
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9327295705830704,64,linear
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8704365240568231,8,linear
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7823606202576835,32,linear
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7135291443507498,64,linear
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9803937983702746,8,linear
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9541948611125262,32,linear
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9390249559410712,64,linear
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8507205642989545,8,linear
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7788270704440554,32,linear
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7423320520806935,64,linear
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.973537594467464,8,linear
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9513948313135151,32,linear
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9355171225653341,64,linear
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8016617647611085,8,linear
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7659065680342717,32,linear
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7346731332913858,64,linear
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9466783872367953,8,linear
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9489221460231853,32,linear
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9337213140505563,64,linear
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8429008406169027,8,linear
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7777767775384967,32,linear
DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7215501390570588,64,linear
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9644814208141789,8,linear
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9134744921454061,32,linear
DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.858197939231965,64,linear
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8819513232854751,8,linear
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.838397975416339,32,linear
DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7952489426753673,64,linear
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9569592586568217,8,linear
DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9289472621252532,32,linear
