model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,743943.5625,Cars,743943.5625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,743943.5625,DTD,946196.25,0.7862465767540296
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,743943.5625,EuroSAT,846298.0625,0.8790562042672762
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,743943.5625,GTSRB,1043762.625,0.7127516780934745
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,743943.5625,MNIST,690433.0,1.077502903974752
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,743943.5625,SVHN,682647.875,1.0897910764023109
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,101449.8359375,Cars,101449.8359375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,101449.8359375,DTD,172404.96875,0.5884391654895387
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,101449.8359375,EuroSAT,215629.140625,0.4704829581171086
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,101449.8359375,GTSRB,254586.875,0.3984880836354977
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,101449.8359375,MNIST,184597.859375,0.5495721146549726
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,101449.8359375,SVHN,159129.875,0.6375285340826164
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,864495.4375,Cars,864495.4375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,864495.4375,DTD,1101484.625,0.7848456690895708
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,864495.4375,EuroSAT,1108168.375,0.7801119911042399
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,864495.4375,GTSRB,1424100.0,0.607046862930974
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,864495.4375,MNIST,894651.4375,0.9662930178883214
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,864495.4375,SVHN,846122.125,1.0217147288283
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,186454.78125,Cars,186454.78125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,186454.78125,DTD,313162.6875,0.5953927102187102
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,186454.78125,EuroSAT,392081.25,0.4755513844388121
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,186454.78125,GTSRB,506360.21875,0.3682255721238962
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,186454.78125,MNIST,467671.25,0.3986877133242635
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,186454.78125,SVHN,312963.5625,0.5957715325086766
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,1007989.3125,Cars,1007989.3125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,1007989.3125,DTD,1318911.75,0.7642583459431611
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,1007989.3125,EuroSAT,1285106.5,0.784362473071298
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,1007989.3125,GTSRB,2334251.75,0.4318254500612455
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,1007989.3125,MNIST,1512658.25,0.6663694939025387
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,1007989.3125,SVHN,1220949.125,0.8255784715845552
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,185305.90625,Cars,185305.90625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,185305.90625,DTD,377569.09375,0.4907867442473898
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,185305.90625,EuroSAT,384386.25,0.482082556933293
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,185305.90625,GTSRB,613184.3125,0.3022026207658403
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,185305.90625,MNIST,437941.5625,0.4231292987862964
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,185305.90625,SVHN,363087.0625,0.5103621841386872
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,965224.6875,Cars,965224.6875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,965224.6875,DTD,969673.6875,0.9954118585898
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,965224.6875,EuroSAT,1369792.0,0.7046505509595618
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,965224.6875,GTSRB,2084294.375,0.4630942246341762
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,965224.6875,MNIST,1519563.75,0.6351985479385119
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,965224.6875,SVHN,1249090.875,0.7727417650857469
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,123868.390625,Cars,123868.390625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,123868.390625,DTD,220342.125,0.5621639104415463
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,123868.390625,EuroSAT,223727.328125,0.5536578461965664
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,123868.390625,GTSRB,366683.0625,0.3378077781408297
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,123868.390625,MNIST,263762.25,0.4696213754053129
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,123868.390625,SVHN,208441.90625,0.5942585771425222
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,1361746.625,Cars,1361746.625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,1361746.625,DTD,1504066.5,0.9053766073508052
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,1361746.625,EuroSAT,1750274.25,0.778019001879277
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,1361746.625,GTSRB,2313445.0,0.5886228654668687
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,1361746.625,MNIST,1817956.125,0.7490536247127526
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,1361746.625,SVHN,1477041.375,0.92194209860912
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,159236.1875,Cars,159236.1875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,159236.1875,DTD,243757.1875,0.6532574039483451
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,159236.1875,EuroSAT,238735.0,0.6669997591471716
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,159236.1875,GTSRB,372026.25,0.4280240641621391
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,159236.1875,MNIST,225585.109375,0.7058807557873632
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,159236.1875,SVHN,227623.25,0.6995602931598596
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,1557677.75,Cars,1557677.75,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,1557677.75,DTD,1951858.875,0.798048347629641
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,1557677.75,EuroSAT,1675729.875,0.929551816935889
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,1557677.75,GTSRB,2090341.625,0.7451785542470839
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,1557677.75,MNIST,1207701.25,1.2897873128805657
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,1557677.75,SVHN,1246297.25,1.2498444893463416
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,216251.03125,Cars,216251.03125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,216251.03125,DTD,259439.09375,0.8335329426427277
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,216251.03125,EuroSAT,198194.890625,1.0911029571350737
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,216251.03125,GTSRB,296535.84375,0.7292576456029188
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,216251.03125,MNIST,150169.734375,1.4400440418305829
