dataset,layer_name,cosine_similarity
Cars,0_attn_q,0.6667097806930542
Cars,1_mlp_c_fc,0.452510267496109
Cars,3_attn_v,0.5211466550827026
Cars,5_attn_q,0.8279895186424255
Cars,6_mlp_c_proj,0.57217937707901
Cars,8_attn_o,0.913942813873291
Cars,10_attn_k,0.6746155023574829
Cars,11_mlp_c_proj,0.2200818657875061
DTD,0_attn_q,0.5777654051780701
DTD,1_mlp_c_fc,0.4517395794391632
DTD,3_attn_v,0.5583478808403015
DTD,5_attn_q,0.6956422924995422
DTD,6_mlp_c_proj,0.7637209892272949
DTD,8_attn_o,0.9516816139221191
DTD,10_attn_k,0.8153000473976135
DTD,11_mlp_c_proj,0.29364386200904846
EuroSAT,0_attn_q,0.8047983050346375
EuroSAT,1_mlp_c_fc,0.9078984260559082
EuroSAT,3_attn_v,0.6744397282600403
EuroSAT,5_attn_q,0.8347666263580322
EuroSAT,6_mlp_c_proj,0.6391109228134155
EuroSAT,8_attn_o,0.9516993761062622
EuroSAT,10_attn_k,0.6755543947219849
EuroSAT,11_mlp_c_proj,0.23146599531173706
GTSRB,0_attn_q,0.7927373051643372
GTSRB,1_mlp_c_fc,0.8481288552284241
GTSRB,3_attn_v,0.6574245095252991
GTSRB,5_attn_q,0.6675647497177124
GTSRB,6_mlp_c_proj,0.6294744610786438
GTSRB,8_attn_o,0.8053743243217468
GTSRB,10_attn_k,0.7046338319778442
GTSRB,11_mlp_c_proj,0.23910583555698395
MNIST,0_attn_q,0.34006673097610474
MNIST,1_mlp_c_fc,0.5969604849815369
MNIST,3_attn_v,0.4836004376411438
MNIST,5_attn_q,0.5170450210571289
MNIST,6_mlp_c_proj,0.5222162008285522
MNIST,8_attn_o,0.7951425909996033
MNIST,10_attn_k,0.47161000967025757
MNIST,11_mlp_c_proj,0.19524194300174713
RESISC45,0_attn_q,0.7437826991081238
RESISC45,1_mlp_c_fc,0.5937156081199646
RESISC45,3_attn_v,0.5314959287643433
RESISC45,5_attn_q,0.745844304561615
RESISC45,6_mlp_c_proj,0.722726583480835
RESISC45,8_attn_o,0.9725254774093628
RESISC45,10_attn_k,0.7360844016075134
RESISC45,11_mlp_c_proj,0.18547804653644562
SUN397,0_attn_q,0.6359540224075317
SUN397,1_mlp_c_fc,0.3629680871963501
SUN397,3_attn_v,0.5244300365447998
SUN397,5_attn_q,0.7847961187362671
SUN397,6_mlp_c_proj,0.7100220918655396
SUN397,8_attn_o,0.8729069828987122
SUN397,10_attn_k,0.7777880430221558
SUN397,11_mlp_c_proj,0.16267205774784088
SVHN,0_attn_q,0.9344956874847412
SVHN,1_mlp_c_fc,0.9456722736358643
SVHN,3_attn_v,0.8148068189620972
SVHN,5_attn_q,0.8737391233444214
SVHN,6_mlp_c_proj,0.6160377860069275
SVHN,8_attn_o,0.8865353465080261
SVHN,10_attn_k,0.6619929075241089
SVHN,11_mlp_c_proj,0.33874279260635376
