dataset,layer_name,cosine_similarity
Cars,0_attn_q,0.520641028881073
Cars,1_mlp_c_fc,0.9579840898513794
Cars,3_attn_v,0.9933540225028992
Cars,5_attn_q,0.8673781156539917
Cars,6_mlp_c_proj,0.9772945046424866
Cars,8_attn_o,0.9793495535850525
Cars,10_attn_k,0.9453679323196411
Cars,11_mlp_c_proj,0.9846340417861938
DTD,0_attn_q,0.6544417142868042
DTD,1_mlp_c_fc,0.9577741026878357
DTD,3_attn_v,0.992411196231842
DTD,5_attn_q,0.7209049463272095
DTD,6_mlp_c_proj,0.9673726558685303
DTD,8_attn_o,0.9472874402999878
DTD,10_attn_k,0.9094153642654419
DTD,11_mlp_c_proj,0.9956170320510864
EuroSAT,0_attn_q,0.9019185900688171
EuroSAT,1_mlp_c_fc,0.9689226150512695
EuroSAT,3_attn_v,0.9699814319610596
EuroSAT,5_attn_q,0.8620330095291138
EuroSAT,6_mlp_c_proj,0.9770489931106567
EuroSAT,8_attn_o,0.9183523058891296
EuroSAT,10_attn_k,0.9281203150749207
EuroSAT,11_mlp_c_proj,0.9573448300361633
GTSRB,0_attn_q,0.8486950993537903
GTSRB,1_mlp_c_fc,0.9726170301437378
GTSRB,3_attn_v,0.9841406345367432
GTSRB,5_attn_q,0.8912390470504761
GTSRB,6_mlp_c_proj,0.9834287166595459
GTSRB,8_attn_o,0.9431223273277283
GTSRB,10_attn_k,0.8584625720977783
GTSRB,11_mlp_c_proj,0.9925716519355774
MNIST,0_attn_q,0.8981795907020569
MNIST,1_mlp_c_fc,0.9730631113052368
MNIST,3_attn_v,0.9821306467056274
MNIST,5_attn_q,0.718097984790802
MNIST,6_mlp_c_proj,0.9667766094207764
MNIST,8_attn_o,0.9816820621490479
MNIST,10_attn_k,0.9881170392036438
MNIST,11_mlp_c_proj,0.9805269241333008
RESISC45,0_attn_q,0.7555620670318604
RESISC45,1_mlp_c_fc,0.9815073013305664
RESISC45,3_attn_v,0.980793833732605
RESISC45,5_attn_q,0.7490811347961426
RESISC45,6_mlp_c_proj,0.9858793616294861
RESISC45,8_attn_o,0.9772148728370667
RESISC45,10_attn_k,0.9056850671768188
RESISC45,11_mlp_c_proj,0.9860936999320984
SUN397,0_attn_q,0.47125881910324097
SUN397,1_mlp_c_fc,0.9645735025405884
SUN397,3_attn_v,0.992613673210144
SUN397,5_attn_q,0.754457950592041
SUN397,6_mlp_c_proj,0.972511887550354
SUN397,8_attn_o,0.9187662601470947
SUN397,10_attn_k,0.9515799880027771
SUN397,11_mlp_c_proj,0.9842517375946045
SVHN,0_attn_q,0.743094801902771
SVHN,1_mlp_c_fc,0.9524350166320801
SVHN,3_attn_v,0.9902799129486084
SVHN,5_attn_q,0.8810602426528931
SVHN,6_mlp_c_proj,0.9825571775436401
SVHN,8_attn_o,0.9429800510406494
SVHN,10_attn_k,0.9431322813034058
SVHN,11_mlp_c_proj,0.9954538345336914
