dataset,layer_name,cosine_similarity,type
Cars,0_attn_q,0.9969075918197632,stilde
Cars,3_attn_v,0.9907183051109314,stilde
Cars,5_attn_q,0.9886470437049866,stilde
Cars,8_attn_o,0.9713630080223083,stilde
Cars,10_attn_k,0.9820070862770081,stilde
DTD,0_attn_q,0.9963578581809998,stilde
DTD,3_attn_v,0.9942060708999634,stilde
DTD,5_attn_q,0.9940298795700073,stilde
DTD,8_attn_o,0.9724359512329102,stilde
DTD,10_attn_k,0.9932425022125244,stilde
EuroSAT,0_attn_q,0.9996837973594666,stilde
EuroSAT,3_attn_v,0.9978642463684082,stilde
EuroSAT,5_attn_q,0.9960702061653137,stilde
EuroSAT,8_attn_o,0.9916829466819763,stilde
EuroSAT,10_attn_k,0.993647575378418,stilde
GTSRB,0_attn_q,0.9984878301620483,stilde
GTSRB,3_attn_v,0.9984980821609497,stilde
GTSRB,5_attn_q,0.9968924522399902,stilde
GTSRB,8_attn_o,0.9884454011917114,stilde
GTSRB,10_attn_k,0.9974391460418701,stilde
MNIST,0_attn_q,0.9993812441825867,stilde
MNIST,3_attn_v,0.9984920024871826,stilde
MNIST,5_attn_q,0.9957884550094604,stilde
MNIST,8_attn_o,0.9881627559661865,stilde
MNIST,10_attn_k,0.9924653172492981,stilde
RESISC45,0_attn_q,0.9983575344085693,stilde
RESISC45,3_attn_v,0.9941850304603577,stilde
RESISC45,5_attn_q,0.9920054078102112,stilde
RESISC45,8_attn_o,0.9936732649803162,stilde
RESISC45,10_attn_k,0.9938241839408875,stilde
SUN397,0_attn_q,0.9958130717277527,stilde
SUN397,3_attn_v,0.9957857131958008,stilde
SUN397,5_attn_q,0.996116578578949,stilde
SUN397,8_attn_o,0.9567531943321228,stilde
SUN397,10_attn_k,0.9921080470085144,stilde
SVHN,0_attn_q,0.9984083771705627,stilde
SVHN,3_attn_v,0.997715175151825,stilde
SVHN,5_attn_q,0.9970066547393799,stilde
SVHN,8_attn_o,0.985683798789978,stilde
SVHN,10_attn_k,0.9933786988258362,stilde
