model,dataset,layer_name,layer_idx,method,error,ft_method
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,EigenCov,0.8318548798561096,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,Random,0.9968445897102356,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,Identity,0.9106545448303223,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,EigenCov,0.6880149841308594,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,Random,0.9997017979621887,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,Identity,0.9560774564743042,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,EigenCov,0.7179809808731079,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,Random,1.000553011894226,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,Identity,0.8072951436042786,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,EigenCov,0.5374000668525696,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,Random,0.9993012547492981,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,Identity,0.9372088313102722,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,EigenCov,0.7415506839752197,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,Random,1.002350091934204,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,Identity,0.8494354486465454,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,EigenCov,0.5377199649810791,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,Random,0.9998815059661865,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,Identity,0.9362570643424988,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,EigenCov,0.7285529971122742,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,Random,1.0012528896331787,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,Identity,0.7965381145477295,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,EigenCov,0.5263032913208008,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,Random,0.9999983310699463,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,Identity,0.8856127858161926,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,EigenCov,0.771296501159668,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,Random,0.9996001124382019,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,Identity,0.8574182987213135,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,EigenCov,0.5344147682189941,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,Random,0.9998236298561096,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,Identity,0.9045430421829224,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,EigenCov,0.7704217433929443,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,Random,1.000211477279663,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,Identity,0.8775319457054138,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,EigenCov,0.554202139377594,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,Random,0.9998011589050293,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,Identity,0.9142181873321533,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,EigenCov,0.7419708967208862,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,Random,1.000663161277771,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,Identity,0.8841069340705872,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_proj.weight,13,EigenCov,0.7602680921554565,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_proj.weight,13,Random,1.0002312660217285,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_proj.weight,13,Identity,0.9509671330451965,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.mlp.c_fc.weight,14,EigenCov,0.6697074174880981,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.mlp.c_fc.weight,14,Random,1.0000519752502441,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.mlp.c_fc.weight,14,Identity,0.8688640594482422,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.mlp.c_proj.weight,15,EigenCov,0.9359298348426819,standard
